id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,classe
1,0.60383,0.21946,0.53139,0.14233,0.21946,592.24,0.6163,0.21946,0.12272,0.2951,0.097402,0.75641,0.46359,0.50669,0.16501,0.041124,0.16501,0.90221,0
2,0.0,0.17185,0.38317,0.12647,0.17185,829.46,0.44004,0.17185,0.10728,0.17571,0.091295,0.15837,0.17523,0.38442,0.027516,0.074333,0.10969,1.033,0
3,0.19114,0.004572,0.020219,0.030966,0.004572,2094.1,0.1743,0.004572,0.003592,0.04061,0.000468,0.2347,0.67566,0.15672,0.031907,0.098528,0.031907,2.329,0
4,0.56944,0.024526,0.069747,0.036812,0.024526,3299.4,0.11063,0.024526,0.018876,0.055446,0.018876,0.56944,0.56453,0.11063,0.042673,0.1805,0.042673,0.90954,0
5,0.0,0.23358,0.63317,0.1878,0.23358,602.31,0.606,0.23358,0.17441,0.23493,0.14059,0.0,0.5725,0.49687,0.17648,0.054712,0.17542,0.52685,0
6,0.0,0.18206,0.34188,0.27163,0.18206,412.3,0.88528,0.18206,0.10045,0.0,0.10045,0.15837,0.416,0.88528,0.016296,0.059746,0.0,1.2019,0
7,0.0,0.14215,17.183,0.32533,0.14215,92.759,3.9349,0.14215,0.32061,0.082265,0.25943,10.573,0.96082,3.195,0.067038,0.014485,0.18554,109.72,0
8,-0.001401,0.013422,0.023711,0.047491,0.013422,4359.1,0.083733,0.013422,0.011351,0.04612,0.008315,0.0,0.3105,0.078381,0.1978,0.25159,0.039003,0.98398,0
9,0.0,0.29714,0.55553,0.13198,0.29714,657.95,0.55475,0.29714,0.12743,0.33015,0.10248,0.15837,0.43913,0.44985,0.14038,0.054265,0.14159,0.78182,0
10,-0.44797,-0.11986,-0.1993,0.011424,-0.11986,6467.9,0.056432,-0.11986,-0.039953,0.0,-0.039953,0.15837,-0.52078,0.056432,0.002316,0.13134,0.0,0.6804,0
11,-0.20856,-0.12478,-1.3914,-0.025158,-0.12478,-2864.9,-0.12741,-0.12478,-0.27475,-0.12461,-0.28701,-0.19542,0.80524,-0.18946,-0.27437,-0.26207,-0.27437,0.60813,0
12,0.63897,0.10728,0.31129,0.054553,0.10728,1155.2,0.31597,0.10728,0.045977,0.09811,0.035793,0.79947,0.59714,0.25699,0.042046,0.11213,0.042046,1.6532,0
13,0.26136,0.098854,2.0274,0.29633,0.098854,659.63,0.55334,0.098854,0.27573,0.075537,0.23318,0.30662,0.80801,0.47388,0.21069,0.076122,0.21069,2.7133,0
14,0.011692,0.094949,0.77888,0.13768,0.094949,762.7,0.47856,0.094949,0.11101,0.090144,0.095813,0.024163,0.75392,0.42574,0.10539,0.071621,0.10539,1.822,0
